"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Datetime
Togo,36979,2,273,0,36688,9,18,0,4285,32,728536,84415,8630398,Africa,233,31613,12,0.2,0.0,2.0,2022-04-25
Guinea,36459,0,440,0,35976,0,43,8,2646,32,660107,47909,13778348,Africa,378,31314,21,0.0,0.0,3.0,2022-04-25
Faeroe Islands,34658,0,28,0,7693,0,26937,5,704431,569,778000,15813008,49200,Europe,1,1757,0,0.0,0.0,547500.0,2022-04-25
Aruba,34589,0,212,0,34251,0,126,2,321495,1970,177885,1653391,107588,North America,3,507,1,0.0,0.0,1171.0,2022-04-25
Tanzania,33864,0,803,0,0,0,0,7,539,13,0,0,62817445,Africa,1855,78228,0,0.0,0.0,523.0,2022-04-25
Bahamas,33488,5,789,0,32315,5,384,11,83708,1972,229817,574459,400058,North America,12,507,2,12.0,0.0,960.0,2022-04-25
Lesotho,32910,0,697,0,24155,0,8058,0,15145,321,431221,198441,2173043,Africa,66,3118,5,0.0,0.0,3708.0,2022-04-25
Mali,30752,12,731,0,29828,15,193,0,1443,34,664653,31193,21307810,Africa,693,29149,32,0.6,0.0,9.0,2022-04-25
Haiti,30640,0,835,0,29389,0,416,0,2629,72,132422,11362,11654566,North America,380,13958,88,0.0,0.0,36.0,2022-04-25
Isle of Man,28416,0,87,0,26794,0,1535,0,331000,1013,150753,1756025,85849,Europe,3,987,1,0.0,0.0,17880.0,2022-04-25
Benin,26952,0,163,0,25506,0,1283,5,2122,13,604310,47588,12698671,Africa,471,77906,21,0.0,0.0,101.0,2022-04-25
Somalia,26485,0,1350,0,13182,0,11953,0,1586,81,400466,23985,16696753,Africa,630,12368,42,0.0,0.0,716.0,2022-04-25
Congo,24079,0,385,0,20178,0,3516,0,4177,67,347815,60340,5764250,Africa,239,14972,17,0.0,0.0,610.0,2022-04-25
Saint Lucia,23285,46,368,0,22765,29,152,1,125764,1988,142871,771654,185149,North America,8,503,1,248.0,0.0,821.0,2022-04-25
Timor-Leste,22860,0,130,0,22714,0,16,0,16760,95,261459,191690,1363967,Asia,60,10492,5,0.0,0.0,12.0,2022-04-25
Cayman Islands,21755,0,26,0,8553,0,13176,1,324116,387,222773,3318976,67121,North America,3,2582,0,0.0,0.0,196302.0,2022-04-25
Burkina Faso,20853,0,382,0,20439,0,32,0,950,17,248995,11348,21942002,Africa,1052,57440,88,0.0,0.0,1.0,2022-04-25
Nicaragua,18491,0,225,0,4225,0,14041,0,2732,33,0,0,6767463,North America,366,30078,0,0.0,0.0,2075.0,2022-04-25
Gibraltar,17706,0,102,0,16579,0,1025,0,525822,3029,534283,15866807,33673,Europe,2,330,0,0.0,0.0,30440.0,2022-04-25
South Sudan,17443,21,138,0,13514,0,3791,1,1526,12,378620,33120,11431684,Africa,655,82838,30,2.0,0.0,332.0,2022-04-25
Tajikistan,17388,0,124,0,17264,0,0,0,1752,12,0,0,9925932,Asia,571,80048,0,0.0,0.0,0.0,2022-04-25
Liechtenstein,17105,2,85,0,16873,42,147,0,446303,2218,102174,2665919,38326,Europe,2,451,0,52.0,0.0,3836.0,2022-04-25
San Marino,16186,46,114,0,15702,40,370,4,475220,3347,149271,4382590,34060,Europe,2,299,0,1351.0,0.0,10863.0,2022-04-25
Equatorial Guinea,15907,0,183,0,15698,0,26,5,10701,123,310972,209198,1486499,Africa,93,8123,5,0.0,0.0,17.0,2022-04-25
