"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Uruguay,895775,0,7197,0,886654,0,1924,18,256261,2059,6091188,1742550,3495560,South America,4,486,1,0.0,0.0,550.0
New Zealand,890039,5750,644,8,830557,6285,58838,0,177933,129,6983031,1396020,5002100,Australia/Oceania,6,7767,1,1150.0,2.0,11763.0
Ecuador,868285,0,35581,0,0,0,0,759,47895,1963,2470170,136257,18128779,South America,21,510,7,0.0,0.0,21448.0
Costa Rica,851363,342,8404,2,832409,543,10550,43,164404,1623,4240743,818919,5178467,North America,6,616,1,66.0,0.4,2037.0
Guatemala,842653,81,17525,5,822744,203,2384,5,45509,946,4417854,238592,18516348,North America,22,1057,4,4.0,0.3,129.0
Latvia,817439,123,5744,1,803310,175,8385,9,442242,3108,7155876,3871398,1848396,Europe,2,322,0,67.0,0.5,4536.0
Azerbaijan,792496,0,9707,0,782646,0,143,0,76905,942,6794952,659391,10304893,Asia,13,1062,2,0.0,0.0,14.0
Panama,772086,267,8182,0,760466,267,3438,8,173975,1844,5835793,1314987,4437910,North America,6,542,1,60.0,0.0,775.0
Saudi Arabia,753526,109,9079,1,740871,199,3576,43,21050,254,41838185,1168768,35796840,Asia,48,3943,1,3.0,0.03,100.0
Sri Lanka,663195,64,16502,0,646109,3535,584,0,30738,765,6486117,300616,21576057,Asia,33,1307,3,3.0,0.0,27.0
Paraguay,649034,0,18795,0,624673,0,5566,5,89014,2578,2623300,359780,7291397,South America,11,388,3,0.0,0.0,763.0
Kuwait,631294,0,2555,0,627899,0,840,8,143964,583,7999656,1824290,4385079,Asia,7,1716,1,0.0,0.0,192.0
Myanmar,612770,21,19434,0,591666,33,1670,0,11127,353,7907676,143590,55071224,Asia,90,2834,7,0.4,0.0,30.0
Palestine,581940,0,5353,0,576242,0,345,17,109462,1007,3078533,579068,5316355,Asia,9,993,2,0.0,0.0,65.0
Dominican Republic,579114,0,4376,0,574446,0,292,14,52431,396,3265645,295663,11045164,North America,19,2524,3,0.0,0.0,26.0
Estonia,570402,145,2533,2,507736,262,60133,4,429470,1907,3313522,2494835,1328153,Europe,2,524,0,109.0,2.0,45276.0
Bahrain,566679,407,1475,0,561648,427,3556,1,313302,815,9703058,5364561,1808733,Asia,3,1226,0,225.0,0.0,1966.0
Venezuela,522234,58,5706,0,515537,74,991,230,18460,202,3359014,118736,28289854,South America,54,4958,8,2.0,0.0,35.0
Moldova,516986,0,11489,0,504142,0,1355,49,128701,2860,3216305,800681,4016964,Europe,8,350,1,0.0,0.0,337.0
Egypt,515645,0,24613,0,442182,0,48850,122,4872,233,3693367,34898,105833319,Africa,205,4300,29,0.0,0.0,462.0
Libya,501904,0,6430,0,490973,0,4501,101,71286,913,2477219,351842,7040705,Africa,14,1095,3,0.0,0.0,639.0
Cyprus,470481,0,1011,0,124370,0,345100,60,384601,826,9477138,7747209,1223297,Asia,3,1210,0,0.0,0.0,282106.0
Ethiopia,470442,8,7510,0,454975,8,7957,15,3916,63,4768333,39695,120124639,Africa,255,15995,25,0.07,0.0,66.0
Mongolia,469595,15,2177,0,313256,0,154162,192,139180,645,4030048,1194441,3374002,Asia,7,1550,1,4.0,0.0,45691.0
Armenia,422828,3,8622,0,410571,13,3635,0,142209,2900,3037290,1021526,2973286,Asia,7,345,1,1.0,0.0,1223.0
Honduras,422275,0,10892,0,131100,0,280283,105,41439,1069,1263329,123975,10190206,North America,24,936,8,0.0,0.0,27505.0
Oman,389074,21,4258,1,384172,27,644,4,72833,797,25000000,4679893,5342003,Asia,14,1255,0,4.0,0.2,121.0
Bosnia and Herzegovina,376841,77,15762,4,192218,0,168861,0,116172,4859,1754925,541005,3243821,Europe,9,206,2,24.0,1.0,52056.0
Réunion,374295,0,742,0,355605,0,17948,10,412720,818,1603660,1768291,906898,Africa,2,1222,1,0.0,0.0,19791.0
Qatar,364300,113,677,0,362776,102,847,2,129745,241,3426742,1220434,2807805,Asia,8,4147,1,40.0,0.0,302.0
Kenya,323718,9,5649,0,317919,10,150,0,5789,101,3586406,64137,55918167,Africa,173,9899,16,0.2,0.0,3.0
Zambia,319316,332,3976,2,314524,449,816,0,16530,206,3416956,176889,19316962,Africa,60,4858,6,17.0,0.1,42.0
North Macedonia,309208,146,9276,5,299302,238,630,0,148428,4453,2011275,965465,2083219,Europe,7,225,1,70.0,2.0,302.0
Botswana,305859,0,2688,0,303026,0,145,1,125470,1103,2026898,831481,2437697,Africa,8,907,1,0.0,0.0,59.0
Albania,274834,6,3496,0,270916,23,422,2,95691,1217,1800323,626832,2872099,Europe,10,822,2,2.0,0.0,147.0
Algeria,265771,4,6875,0,178349,3,80547,6,5869,152,230861,5098,45286524,Africa,170,6587,196,0.09,0.0,1779.0
Nigeria,255685,0,3143,0,249890,0,2652,11,1187,15,5036813,23384,215399392,Africa,842,68533,43,0.0,0.0,12.0
Zimbabwe,247598,44,5468,0,241460,34,670,12,16230,358,2243803,147084,15255204,Africa,62,2790,7,3.0,0.0,44.0
Uzbekistan,238503,34,1637,0,236515,32,351,23,6944,48,1377915,40116,34348650,Asia,144,20983,25,1.0,0.0,10.0
Luxembourg,235276,1310,1062,4,224212,2711,10002,1,365085,1648,4217884,6545027,644441,Europe,3,607,0,2033.0,6.0,15520.0
Montenegro,234760,53,2713,0,231409,33,638,6,373697,4319,2446294,3894070,628210,Europe,3,232,0,84.0,0.0,1016.0
Mozambique,225366,1,2201,0,223106,2,59,13,6862,67,1310291,39896,32842294,Africa,146,14922,25,0.03,0.0,2.0
Laos,205499,229,734,2,7660,0,197105,0,27521,98,1232128,165010,7466975,Asia,36,10173,6,31.0,0.3,26397.0
Kyrgyzstan,200990,7,2991,0,196386,0,1613,131,29912,445,1907195,283837,6719339,Asia,33,2247,4,1.0,0.0,240.0
Iceland,185254,32,114,0,75685,0,109455,0,536565,330,1953616,5658407,345259,Europe,2,3029,0,93.0,0.0,317023.0
Maldives,179171,288,298,0,163687,0,15186,25,321208,534,2213831,3968840,557803,Asia,3,1872,0,516.0,0.0,27225.0
Afghanistan,178745,56,7683,1,161790,42,9272,1124,4412,190,941314,23232,40517414,Asia,227,5274,43,1.0,0.02,229.0
Uganda,164069,0,3596,0,100205,0,60268,2,3393,74,2612795,54030,48358437,Africa,295,13448,19,0.0,0.0,1246.0
El Salvador,162089,0,4128,1,150662,0,7299,8,24763,631,1950448,297981,6545552,North America,40,1586,3,0.0,0.2,1115.0
Ghana,161157,33,1445,0,159669,14,43,1,4997,45,2434977,75506,32248654,Africa,200,22317,13,1.0,0.0,1.0
Namibia,158379,21,4025,0,153662,0,692,0,60350,1534,1002457,381987,2624324,Africa,17,652,3,8.0,0.0,264.0
Martinique,151358,0,922,0,104,0,150332,8,403905,2460,828928,2212026,374737,North America,2,406,0,0.0,0.0,401167.0
Trinidad and Tobago,145021,458,3816,3,134078,244,7127,18,103019,2711,697725,495647,1407706,North America,10,369,2,325.0,2.0,5063.0
Brunei ,141269,150,218,0,140052,170,999,0,317405,490,717784,1612726,445075,Asia,3,2042,1,337.0,0.0,2245.0
